Location,Country,Category,Visitors,Rating,Revenue,Accommodation_Available
LufLNnBSEy,Egypt,Urban,457222,3.25,433984.41,No
cCLnHfxyGP,India,Cultural,898576,4.57,929094.58,No
YiRDzgqrRS,USA,Historical,365591,3.03,629842.36,Yes
xtwDQIFndE,India,Historical,933942,4.81,564043.53,Yes
MeWguqxyyy,China,Beach,994921,3.61,385699.84,Yes
DrgtEXjeha,India,Beach,402902,2.55,569645.21,Yes
RHfcqxFJiS,Egypt,Nature,713093,4.68,652176.07,No
LBLZjYkNzl,USA,Adventure,280973,2.77,711884.56,No
xwKHaXlKYc,France,Cultural,669669,4.18,392240.84,No
BntekcoNcZ,Egypt,Adventure,77011,2.7,482535.92,Yes
MBEFglCYLg,Brazil,Adventure,977984,1.94,278179.65,Yes
TCNCbxQvPa,France,Beach,823106,3.21,469434.72,Yes
VFcHJfwoki,Australia,Cultural,76113,4.27,927880.7,No
TwAUWerXRL,China,Historical,816150,2.57,643974.48,Yes
hjrKeeGLmU,Brazil,Beach,290862,2.35,78497.74,Yes
FIJnltCiGr,USA,Historical,782144,2.39,117276.97,No
jPlgCmwJdM,India,Beach,995816,1.72,655498.09,No
ovLUEmhDIN,Australia,Urban,837663,4.46,381880.13,No
YFtnPgOBKf,USA,Beach,5891,1.77,393525.09,Yes
hyVxjFyEAf,Australia,Urban,931672,2.89,2637.17,Yes
avylPbCYPw,France,Historical,277639,3.12,111914.56,Yes
AtgyQGFIPy,Egypt,Cultural,715600,3.81,490394.1,No
JAHXsukZHj,China,Cultural,305302,4.04,427843.98,Yes
VJjwWnXQMO,France,Historical,723607,2.19,295156.17,No
gWcTJpktwa,Brazil,Beach,511085,3.28,602624.04,No
aHUsBtlnSI,Egypt,Historical,117831,2.3,176471.69,No
KeNhGxSWuu,Brazil,Nature,513323,2.2,866650.75,No
MyIAmUqROc,Brazil,Adventure,335645,4.68,344015.83,No
lmqvyYoFOe,Egypt,Adventure,324531,4.1,516780.09,No
XZQvRXDZqU,USA,Historical,770608,2.66,343401.96,No
HGqcLSUrZn,Australia,Adventure,511173,3.72,480928.7,Yes
usYDmNEpPq,Egypt,Adventure,597056,1.43,333238.79,No
peyoCBvKwY,Egypt,Beach,551049,4.47,446500.54,Yes
SzeuvRtqYS,USA,Adventure,549885,1.62,444943.38,Yes
HucljITevD,France,Urban,310168,3.12,714074.88,Yes
LPhpSJBqiS,Australia,Beach,813636,2.73,106741.98,No
vBUxOlqukP,Australia,Beach,966040,3.91,155759.17,Yes
oqwZgeGjAd,China,Urban,99469,2.46,161786.78,Yes
hhJqeRgkkG,Brazil,Cultural,952995,3.69,615759.49,Yes
mdGHolyRba,Brazil,Adventure,675576,3.45,275492.32,No
wvWmfdcgpC,India,Urban,959072,4.75,840972.48,Yes
rMZaLZqGUV,USA,Nature,618692,3.39,992195.21,Yes
vCYCKVYMvW,Brazil,Beach,758772,4.77,450116.13,Yes
xoliZTwqtM,France,Urban,738821,2.45,576080.81,No
bQreneXgBM,Egypt,Nature,639744,4.27,273673.01,Yes
WOtSqeijDF,India,Urban,891450,1.03,457933.86,No
kAqtJDYUGw,India,Urban,173998,1.12,272223.14,No
AqRNTntEKz,Australia,Historical,153702,1.68,139247.39,No
XcbqrBGFhO,Egypt,Beach,968794,2.51,599292.11,Yes
vPmXgvRbIh,China,Nature,910521,4.9,372159.91,Yes
iiUPNyNcfc,France,Beach,545198,1.92,580451.96,Yes
rTuBSTFSOJ,India,Beach,78795,4.06,880059.1,Yes
XKhtHRBhBF,India,Cultural,461200,4.5,200954.15,No
QuOyLZcmBQ,Brazil,Urban,915278,2.89,727056.79,Yes
iKvoceNVeB,USA,Cultural,496706,3.35,969348.32,No
MgGtRwaOLa,USA,Cultural,341339,1.15,969404.64,Yes
ipTWbwaSHA,USA,Adventure,278002,3.09,563651.71,Yes
BcxjmFHRDg,France,Historical,935426,2.21,15736.81,No
MyFoZEQZZP,Egypt,Nature,697092,2.76,380858.3,No
uaZKSUgFbI,Egypt,Urban,603678,3.96,104663.02,No
geZmfaKqlz,India,Urban,220600,3.43,875627.89,Yes
PBQkHvhmSZ,France,Historical,242257,4.87,2685.26,No
zMsEBIzdcu,India,Adventure,777639,2.93,538780.94,No
xdPPvBAqNL,India,Nature,496223,3.52,752016.82,Yes
tTktNwKPMs,Australia,Nature,843326,2.29,652676.96,No
pTaejJwbVQ,India,Beach,674918,2.13,753695.28,Yes
xdUptdaZzW,Brazil,Nature,422829,4.86,282584.58,Yes
qIWXZPNxMm,USA,Historical,595573,2.62,708644.65,No
migNQjySTS,Australia,Historical,882229,4.78,327691.41,No
qPpmHpbENO,Brazil,Urban,498960,4.47,706415.93,Yes
NKQNqtXDMX,Brazil,Historical,618335,4.74,534986.11,Yes
WBRWOONxiw,China,Historical,56360,4.22,597303.1,Yes
wdmWIcWJsm,USA,Cultural,343585,1.72,459951.14,No
PNXwVvyBgp,France,Nature,333132,1.9,186272.91,No
AgzgHZeTPU,USA,Beach,961298,1.44,660540.79,No
swVJQHFqAs,Australia,Urban,950546,4.81,521640.87,No
XbDpVOIUwl,Australia,Beach,655351,3.92,216182.22,Yes
GvIbyzbXUk,China,Historical,258280,2.17,106290.48,Yes
bPbyUMGppW,France,Nature,703247,2.37,979384.69,No
sNxSNecRCs,Australia,Adventure,772866,1.37,944794.23,No
chyOjpkMoS,China,Beach,652149,3.67,581590.71,No
xIYYDmArVT,Australia,Nature,181124,2.88,785439.12,Yes
BqfAOxFGcj,China,Beach,228957,3.49,938518.09,Yes
xnYqrRDYZm,France,Adventure,268244,4.29,291148.7,No
NqubTNyDUe,Egypt,Urban,38883,3.46,548378.45,No
eKmQkmoXaK,Egypt,Cultural,835682,4.25,738271.87,No
exLJPKEDAN,Australia,Historical,223560,4.16,873757.33,No
hZDipIUrdx,Australia,Cultural,497984,3.47,812420.69,No
HewCHnNMdR,Egypt,Adventure,308400,2.52,371442.45,Yes
vdxYoGJbjE,India,Urban,209528,1.21,419139.03,No
SRKzHGJUkF,France,Historical,973093,1.61,725962.1,No
XXtGCrvVwX,India,Beach,187481,1.29,181704.32,Yes
zpyfmXqIom,Egypt,Urban,486421,1.01,253911.91,No
KGINacrzIs,Brazil,Adventure,887514,1.13,57309.79,Yes
OhGretvyrx,France,Adventure,339086,2.11,295593.13,No
qSYfgubWBW,USA,Urban,818989,3.84,861272.35,No
OSwXpogHAN,China,Historical,628746,1.53,90350.37,No
oSSelbOsdD,Australia,Adventure,859602,4.02,159141.72,Yes
gMNzQKyfIp,USA,Beach,644309,4.05,669040.88,No
JPdeACQsZC,Australia,Nature,617143,2.99,125768.27,No
YZOzQlAbcI,China,Adventure,738696,4.05,50841.03,Yes
CqdCGLjSSq,France,Nature,951526,2.13,772323.54,No
LBhvaLWoGE,Brazil,Beach,384862,2.06,481008.76,No
MOMPnNGLWq,China,Historical,58830,1.74,787857.82,Yes
usuxIhMSZc,France,Cultural,931259,2.93,786769.51,Yes
wfjxcPGftw,India,Nature,681533,2.06,561983.24,Yes
kkTAJFWcBl,USA,Cultural,977972,3.85,455465.26,Yes
gGPcJrRqvE,China,Nature,328307,1.35,745532.65,Yes
LjBIKopOtH,USA,Beach,171495,3.79,80789.7,No
FlOUCpgFty,Brazil,Adventure,507425,4.12,676253.53,Yes
xbzrZcqmJd,China,Adventure,97631,3.89,178160.52,Yes
BUSCAvUGsx,India,Cultural,176517,1.97,716173.69,Yes
zlwChiUbAE,USA,Nature,469057,4.13,275880.0,No
dcxEzzNFsm,France,Adventure,973593,4.64,742106.55,Yes
vDwLJKQCoi,USA,Urban,642997,3.54,404830.88,Yes
utRccybLan,Egypt,Cultural,209697,2.35,530526.12,Yes
BZyJByMfxP,Australia,Nature,574179,2.59,683791.94,No
KJWaNvesQW,France,Historical,682503,1.11,835560.19,Yes
bhKdBRoSYx,Australia,Adventure,324143,2.77,858702.23,No
NTybCgXIWu,Australia,Beach,686714,3.37,550713.32,Yes
VUBsKOMvIs,Egypt,Adventure,418741,2.06,16958.3,No
ircYectqoK,Australia,Cultural,723399,4.8,54980.83,Yes
FsHbBCirTb,China,Beach,253471,1.43,932496.98,Yes
hkpGZMzRZF,Australia,Adventure,505278,2.91,464753.93,Yes
QGeWMFJYzR,France,Urban,396807,4.2,427161.28,Yes
LAkcGsYuXG,France,Nature,556376,3.96,316858.82,No
ZIvsRwTcqx,China,Historical,497433,4.75,628144.18,Yes
ynzqJLgjiI,Brazil,Cultural,973925,1.51,264432.1,Yes
mSBMmGBnGU,France,Beach,310525,2.51,379165.73,Yes
pnbKPCzfXU,USA,Beach,530367,4.32,292020.23,Yes
CXoTPGztPQ,Brazil,Adventure,950425,2.83,335998.39,No
jXmfIYjfla,USA,Beach,292412,2.96,494540.86,Yes
toMHafNiHO,USA,Cultural,60248,1.8,760633.13,Yes
wyWlkTPOUF,USA,Historical,52452,3.63,4374.71,Yes
KFxlpqYGbA,Brazil,Historical,898517,2.31,891726.3,No
LFieAuvLFe,India,Beach,138953,4.42,923271.41,Yes
xfztqCCMHM,USA,Adventure,638177,1.57,102629.77,Yes
tgATiobsGP,France,Historical,815214,3.21,594020.74,No
lDXJnPvmkd,Egypt,Nature,521937,4.55,492690.7,Yes
uFPHIpmPna,Egypt,Cultural,697397,1.31,369433.09,No
HrFweXCChZ,Brazil,Urban,698639,3.09,376481.08,Yes
enpxVFchJO,Brazil,Adventure,308038,3.82,825930.7,Yes
TSHsVIaOrI,Egypt,Historical,346652,4.46,597364.55,Yes
hgdwlPyXtS,USA,Beach,656667,3.56,653146.32,Yes
HLtZNCJJgo,India,Urban,63454,2.18,724118.34,Yes
KvVQdLSkAN,Brazil,Historical,399769,3.36,113741.76,Yes
UPrXlvDwUr,Brazil,Historical,819634,1.38,583035.7,No
eNkBzpDXOA,Brazil,Beach,648342,4.11,255331.59,Yes
ZOXzXwjFPG,India,Adventure,352278,3.28,319971.98,No
XvfhTXlgUl,USA,Beach,265520,3.12,607106.7,Yes
rdowIbKxGy,USA,Historical,924003,1.17,237696.27,No
bDbBfpUmcu,Australia,Adventure,126703,3.19,514926.53,No
cncJMVkfKH,India,Nature,368721,1.7,675917.48,No
baysTQuUSZ,Australia,Cultural,768913,4.63,51630.39,Yes
rrOFVjYESI,USA,Urban,70001,2.5,150873.92,Yes
hAaaOfAXTP,Brazil,Historical,204923,4.21,71667.08,Yes
jLApmTuDdY,India,Historical,794333,1.02,14913.62,Yes
bcGmeEqBiT,Egypt,Nature,116855,3.15,796158.83,Yes
EHWUmbIgZJ,India,Beach,584435,1.33,132601.07,No
RdyYUlMtMy,Australia,Beach,7294,2.55,772432.91,Yes
cTbOVPFWWr,China,Historical,15464,3.94,582051.92,Yes
bxHsjvFxPm,USA,Cultural,472271,2.06,362238.66,No
mnYgSXCyYC,France,Historical,822680,4.17,766237.87,Yes
fPYRJhZOZs,Australia,Urban,656494,4.0,20033.06,No
KEGHRlejmc,India,Beach,296446,3.69,289883.38,Yes
TaSYRZWkaR,France,Nature,366784,1.76,159550.73,No
VPfpiUMPjt,China,Beach,25370,1.06,155001.96,Yes
RCjudcBuks,France,Nature,589440,4.58,380343.25,No
CImNcuqMmj,Egypt,Nature,254668,1.73,852666.14,No
DloisXivQn,India,Cultural,398578,2.01,145993.78,Yes
QeZauEQiGB,Australia,Nature,768372,3.0,785289.19,No
QJZEHzclDK,India,Historical,667117,4.53,660258.34,No
ZqLhlwqRbx,Australia,Historical,176764,1.26,300200.42,No
DdsGpEXRhm,China,Nature,944344,2.21,811616.67,No
LpSriRQJYe,India,Historical,623927,4.5,456565.48,No
TCLdGpSlLJ,Australia,Historical,956308,3.32,582572.64,No
CanxeXksBz,France,Cultural,799269,2.97,453251.87,Yes
HewvleNwSX,USA,Beach,877699,4.62,605623.02,No
PtOVsZCRQL,India,Historical,996972,3.64,397432.05,No
fJdGrNmZJA,Brazil,Adventure,277157,3.44,427733.88,Yes
MecdWqEiyD,USA,Urban,978863,1.97,711307.64,No
NODZRUOHlK,Egypt,Urban,48075,1.49,343378.26,No
OvjTmkvuRJ,France,Beach,552728,4.62,596424.78,Yes
poClQtzkPd,India,Beach,604851,3.89,793491.46,No
tUmctIRnnu,Brazil,Beach,879357,3.78,843934.56,Yes
zBxGNQMWmL,India,Beach,459454,2.98,475709.44,No
AllYWofRqi,Australia,Nature,59408,1.69,329461.21,No
rgndSEDwCm,Australia,Nature,937288,1.67,7647.76,No
qddRBqjYIN,Brazil,Adventure,685663,4.25,424012.0,No
YiJBFKDAPt,Egypt,Nature,330565,1.01,308028.43,Yes
VpOcfaBPFE,Egypt,Adventure,938058,1.23,545568.31,No
FfCEfPwfIb,Brazil,Beach,345682,1.76,682935.54,No
ymseMKnkvg,Australia,Adventure,368932,4.19,771720.19,Yes
ghyoxixhxC,Egypt,Adventure,484637,3.73,644122.89,Yes
BXrcZkWPgA,Brazil,Historical,209823,1.81,90787.79,Yes
rLNKxUjNEj,India,Urban,430682,3.9,444461.68,No
AFvSGdEPCD,USA,Nature,751539,4.42,927236.21,No
oCRWSaFYHx,France,Cultural,520503,3.31,286591.62,Yes
kFfTcuRvny,China,Historical,52172,1.72,51446.03,No
nhseTNokoc,Egypt,Urban,72676,1.33,974000.28,Yes
ZzgkGqbYff,Australia,Cultural,48343,1.37,477908.5,Yes
cYMmGAHXJr,Australia,Historical,771037,4.32,985215.04,No
aXvMXgcUox,Australia,Beach,235701,4.91,253950.15,No
MeUjABqqns,USA,Urban,276128,4.92,345102.01,Yes
AulmFOdUIj,USA,Beach,30273,1.26,870637.08,Yes
GnXjiDWGnb,Egypt,Nature,627919,3.9,149742.8,No
xLSvKsHQms,Australia,Adventure,654382,1.32,936014.5,Yes
aOrGFCUzuC,France,Nature,174666,1.4,834206.22,No
aydVsBOcQZ,France,Historical,223187,2.59,516902.07,Yes
quYJFFlEIt,China,Urban,772409,4.45,311526.64,No
DrzUaGNVMX,China,Historical,176783,4.15,158529.4,Yes
WAbTtrrrRQ,China,Urban,816245,3.45,465362.0,No
quYxpglyPd,Egypt,Adventure,613181,2.55,146201.86,Yes
iwCOzRDmmi,India,Historical,23634,2.73,910039.34,Yes
KLmpUOWkxF,Brazil,Beach,612284,3.23,95440.67,No
PfdiDABnoV,India,Urban,193165,2.05,992211.02,Yes
knevcrblFE,India,Nature,122807,4.1,303314.33,Yes
uzDmoaLbTO,China,Historical,488208,2.64,330987.35,No
QfWCGwAIVy,China,Cultural,159149,3.15,918555.68,No
xEhxbsKxaU,Egypt,Adventure,828137,4.74,526234.6,No
ffXjXCmKQr,Brazil,Historical,142649,3.99,161478.75,No
BbEZGYUtzh,Australia,Historical,957965,4.84,734107.62,No
KkvLhaHEpJ,USA,Beach,219760,1.99,444767.26,Yes
EBiczzrEWB,Brazil,Cultural,518112,4.69,386956.66,Yes
tMSgrXlcJh,India,Cultural,819765,1.62,897157.23,Yes
tIGfNZbBgG,China,Adventure,185419,2.77,221979.75,Yes
HGlPIPyULQ,Australia,Cultural,608104,1.62,40344.86,Yes
gVbzkZYpbf,Australia,Beach,870164,3.24,827006.12,No
WymqHEzRqH,Egypt,Nature,486985,3.37,58243.28,No
latRXjACdE,France,Adventure,333656,3.45,532766.74,Yes
feFIBZVhfY,China,Nature,976371,3.85,534512.66,Yes
gavHdbPVpa,Australia,Adventure,625256,1.38,371480.37,No
JPNTpKPrAI,Brazil,Historical,295073,3.46,713065.23,Yes
LUylNUgHhj,Brazil,Cultural,51521,3.01,605795.83,No
ieQDoSidsi,France,Urban,821234,1.59,105314.7,No
sYxxNzOCzJ,Egypt,Urban,608352,2.96,511611.1,Yes
rPbJAQmBMV,France,Cultural,250510,1.48,544244.97,Yes
shXiZoRHzz,France,Urban,526437,1.65,57994.14,Yes
klIYPKGWcE,Brazil,Beach,511951,3.9,486417.67,Yes
jNXvaarRmX,China,Nature,72436,1.46,83838.01,Yes
TmuEIPNqSG,USA,Adventure,610585,2.54,857006.97,No
oRssQEvUQX,Brazil,Historical,712831,2.0,639079.84,Yes
FeowItjPzS,France,Beach,966097,3.62,12922.97,Yes
CBJKhAsbTU,Australia,Cultural,564418,4.52,352128.56,No
AuOgesxCVG,Australia,Historical,195782,3.44,543615.34,Yes
YjOjztezmi,China,Nature,292385,2.03,766597.18,Yes
zCCCkmjSQN,Egypt,Beach,102141,3.67,905993.76,Yes
SVOHomLGut,France,Beach,991955,3.97,386158.27,No
rRMYvotXrj,Brazil,Cultural,62441,4.9,699583.98,No
hOgiuYCrGE,Egypt,Adventure,710653,4.29,440409.37,No
xFnohZmRGY,China,Adventure,222470,4.02,373005.23,Yes
ReZpgocUJG,France,Nature,347799,2.72,561515.96,Yes
CGKmJtBjQR,Australia,Historical,781292,3.35,135059.07,No
WGYmkLyLfh,Australia,Adventure,121172,1.65,322035.83,No
fICvlAIxgX,France,Cultural,819370,1.37,651789.58,Yes
jLGVaDJqCa,China,Nature,788260,2.43,342853.84,Yes
RVzDjHHJFZ,China,Historical,231271,1.01,326887.14,Yes
cLDaVqeDzm,Egypt,Cultural,332278,2.57,265912.23,No
QDxPdmMcHc,France,Beach,620057,2.03,716797.69,No
BlkraAcWTu,China,Beach,913796,2.59,617332.43,No
wbsLwCHuyk,Egypt,Beach,185945,1.58,236027.23,No
iiWNvPrsrq,Egypt,Adventure,98731,1.76,55092.26,No
seizWxvJnJ,Australia,Nature,745824,2.13,940499.26,No
HKjdQiDLpV,USA,Historical,73928,1.2,268171.68,No
xfDcRpNEbO,USA,Nature,101223,1.63,988303.95,Yes
mUdakpvQWT,Egypt,Urban,137123,3.79,838553.33,No
bTmGACzFEs,USA,Cultural,864860,3.66,110094.64,No
sZtwVxauLH,India,Nature,721173,4.69,198534.97,Yes
jNTKorVqoD,China,Urban,705041,1.95,205770.18,Yes
qJZqnHIyjB,USA,Cultural,621454,2.29,695269.48,Yes
QKPziKeBfn,Egypt,Adventure,843408,1.19,553488.26,Yes
kUGoaAqQXs,India,Historical,32916,4.5,717234.35,Yes
PoDHaKywaj,Egypt,Historical,438012,4.9,244909.37,No
RIzzwhuckw,Egypt,Historical,356943,4.52,601328.83,Yes
MnUIiMORSI,India,Urban,399922,1.14,238919.22,No
fZEaGwoWQm,China,Urban,622868,4.82,289768.32,Yes
eElYHdiHhN,China,Nature,612611,2.81,505918.97,No
DKDptKcDpA,Brazil,Beach,243760,1.06,263356.3,No
FbIZRMqSLb,France,Historical,823066,2.89,91883.83,Yes
PrxculcMox,Egypt,Urban,66352,3.62,845314.28,Yes
ecpoDgJIhK,Australia,Nature,346458,3.46,89764.47,No
QtjRLaFboX,USA,Beach,509811,3.02,640640.48,No
OWKyjlPFPZ,India,Historical,173089,3.87,507215.47,Yes
bFTrauOofe,Brazil,Adventure,476546,2.02,726935.84,Yes
QhPGlUycWS,Egypt,Adventure,228874,3.83,3491.73,No
JTxxFoUxPq,India,Cultural,461817,3.39,560925.45,No
zUUWcsVIHa,USA,Urban,565613,3.63,673826.11,Yes
ETVMnoHAmR,USA,Beach,381284,3.68,116707.8,No
UmvMLQUPzs,USA,Adventure,82334,1.24,92071.44,Yes
bDrEdUCDKd,USA,Historical,507119,1.75,967297.37,No
yYjWYUFetf,Brazil,Historical,206221,1.03,629511.34,Yes
eCVzmNLfJZ,Australia,Urban,109052,3.25,511992.93,Yes
kidDirqoPA,Australia,Adventure,180234,3.93,819506.81,Yes
VsLANRFwby,USA,Nature,888152,3.72,386685.1,No
UNSZLFDmUX,USA,Historical,877385,2.47,185142.12,No
CAmRwVSpZM,Brazil,Nature,285108,4.06,686069.56,Yes
tRuLxmDCmn,Australia,Urban,455975,3.95,674902.59,Yes
rqwHfxuJcO,Australia,Urban,197742,3.57,594330.61,Yes
vDpBXGtLRt,Australia,Urban,514824,1.55,327746.18,No
dbRwFepHwA,France,Adventure,949131,4.68,762439.94,No
HMaKBFmaEt,Egypt,Historical,215675,4.69,744369.92,No
XiSDIKEWZI,France,Nature,385744,4.2,506173.73,No
czqqtoWkSc,Brazil,Beach,975315,3.36,803124.45,No
BnQzUqcioD,USA,Urban,941724,3.48,790991.93,Yes
HeeYDultbq,China,Adventure,730281,3.62,733009.88,No
IdvJunjkjY,USA,Historical,540234,4.04,35802.86,Yes
cjgIOQpVWc,France,Cultural,459384,3.84,172063.67,No
ijrRfUyiUO,China,Adventure,422425,1.95,509564.53,Yes
FJtQopfyZS,USA,Adventure,897758,3.49,855479.92,Yes
irBRKUncXs,India,Adventure,859784,1.19,454164.63,No
hXVxMAHzSI,Brazil,Nature,684130,1.02,384864.67,No
JGedPYhZHl,India,Adventure,847842,3.86,729692.73,Yes
DPxQZxTnel,India,Cultural,706053,2.07,344553.16,Yes
EmFYJJnglv,France,Urban,441939,4.85,977722.22,Yes
tNAATAPjhb,Brazil,Beach,842330,3.8,151611.63,Yes
zQSSzYfnjG,India,Historical,182799,1.23,384223.22,No
xZgxwuaSCb,India,Beach,792503,2.18,506673.64,No
wIsuRnIIMl,China,Adventure,252783,1.58,774082.91,Yes
IOSpWyHgdm,India,Historical,833080,1.27,499468.14,Yes
EGcpdaWoaJ,Egypt,Historical,865728,3.35,660403.67,Yes
TXLVBIHSgS,Australia,Cultural,991333,4.81,643418.21,No
InPpYDofqM,France,Historical,195857,2.9,606682.44,Yes
swBxIvdZnw,China,Adventure,203763,4.64,816046.71,No
lGaGYEdaqx,Egypt,Urban,256595,4.4,675028.89,Yes
RWylhglUbW,Brazil,Beach,173484,1.22,187995.79,Yes
EjKCXVldVF,USA,Nature,212579,3.34,410337.02,No
ApLntBZyIe,China,Adventure,517695,1.47,226282.94,No
ZALafMEooI,Egypt,Historical,464660,4.66,937487.32,No
SbLlNpoNrd,USA,Urban,218955,3.25,176793.79,No
llwnCOybDT,China,Urban,664259,1.77,66735.94,Yes
KgSCkesnEU,Brazil,Beach,624729,1.81,363995.79,Yes
PDccDxUPYI,Brazil,Nature,294015,4.67,867619.5,No
RtSYrDZCRx,USA,Cultural,493088,1.78,936171.78,No
IiQtAOrUPF,China,Adventure,864538,4.49,269754.7,No
wbQaLvcYZQ,France,Historical,892565,3.01,564771.73,No
fUhwQpBhno,Egypt,Historical,662807,3.98,936155.04,Yes
rXIEKhZeDs,Australia,Adventure,611866,3.08,245017.6,No
rNlpvzuNjb,Brazil,Beach,534742,4.9,115424.35,No
riWaLVynQE,India,Urban,959793,4.01,745223.71,No
fisbyXVnDJ,Brazil,Historical,90897,4.8,628365.05,Yes
jOsHJydAzT,Brazil,Beach,494889,2.32,927645.42,No
KsMLjGlhUL,Brazil,Cultural,772122,3.28,884761.34,No
hmgyNaHbGg,Brazil,Adventure,219949,1.18,665673.1,No
DrNdVzutJA,Australia,Nature,983360,1.13,171422.94,No
UXpqxBnIcs,Egypt,Nature,301570,1.85,793030.27,Yes
wWgnMBSRkd,Brazil,Historical,340719,4.65,816329.63,No
DWvETqvtbp,USA,Urban,942714,4.82,914744.69,No
ItjIkzfGAL,China,Adventure,158988,1.96,999410.89,Yes
fZBQiYTyDt,India,Beach,70611,2.33,6304.08,No
opcCuIRcTr,Australia,Urban,663429,2.15,915322.5,No
tmHXvKNuMn,France,Cultural,959709,4.97,924487.32,Yes
NZEozPGZEV,China,Beach,751427,2.81,453884.6,No
TwvtnmKcKd,Egypt,Cultural,937344,1.67,240785.79,No
frTyUTBPpI,India,Beach,502265,4.24,427398.81,Yes
uQFoBPenCS,USA,Urban,185893,2.2,1374.83,No
wvrGhgsEMq,India,Cultural,862007,3.52,233650.89,No
JKMJLHukAb,Egypt,Cultural,634905,3.66,530827.27,No
yJhNnQmaVv,China,Historical,213645,2.45,521526.92,Yes
HQwLtreqVi,Brazil,Adventure,169759,3.62,905162.66,Yes
RLpQCJKFjB,France,Cultural,514533,1.1,381649.54,No
ArykcWplZY,Egypt,Historical,393736,4.07,589508.98,No
uwMBFJKOeA,Brazil,Adventure,665591,2.14,248720.69,Yes
AtHLUQPmLD,France,Beach,425520,2.48,209483.89,No
lKPLEOnXyf,France,Beach,625012,4.52,195918.25,Yes
XSmEKxdKKH,India,Adventure,535242,2.37,127943.25,Yes
oVlZfTmClh,India,Urban,714841,1.27,476561.89,No
zqIEDzEVqh,Egypt,Urban,414064,4.17,996714.45,Yes
eAXItHPpjr,France,Cultural,40494,3.01,456661.34,Yes
YRJeVRTlLh,Brazil,Adventure,391561,4.67,220396.31,Yes
JoefsWgFPj,China,Nature,708380,1.97,682162.36,Yes
rpUsNAfddy,India,Historical,769881,2.2,821659.73,No
fIiGKISyZX,France,Nature,134323,2.25,356518.93,No
rWtNyTHJbx,USA,Urban,148087,3.15,888874.28,Yes
qDGOQCuoxW,China,Historical,426741,2.91,452361.53,No
qmZvYOmPGN,Australia,Nature,926101,2.34,143267.28,Yes
HglcYKHeoH,Brazil,Urban,502593,1.91,390476.89,No
pxvsqXJSAv,India,Urban,898150,3.39,220632.97,Yes
QBRLzbNXhp,Egypt,Beach,393928,4.29,10819.52,Yes
VqmZzkzMnH,Brazil,Historical,283818,4.51,217241.44,No
OjMBFDDJcX,Brazil,Adventure,463491,2.79,943749.98,No
NXfcdDhYGc,Brazil,Beach,162633,4.71,874706.43,No
XyDKssTfbT,Australia,Historical,888097,3.31,220300.89,No
hilaStuFDv,India,Cultural,665926,3.8,513996.81,No
pPNTjYhjQn,Egypt,Historical,338612,2.88,98312.81,Yes
HgZoVEXUYN,Brazil,Historical,605272,4.09,686010.52,Yes
hxPNflkEeE,France,Beach,188889,4.5,741691.99,No
cELqvaVyoS,India,Nature,690529,2.25,999821.2,Yes
NpVPKKdEWe,USA,Historical,550644,3.68,684744.43,No
fbyQnUojXj,Brazil,Cultural,399388,2.21,938562.87,No
JcXMNLNBwv,USA,Adventure,831297,3.66,69836.09,No
kagAhGlsgo,France,Adventure,726498,1.22,586557.58,No
mDqBQTNPsN,Australia,Historical,611419,3.15,808695.89,Yes
XwaLrYfvYi,Egypt,Beach,64221,2.54,804197.73,Yes
lOOoStLWkF,Brazil,Nature,295933,3.06,36000.87,No
TDhOIYGAMF,India,Nature,647382,4.51,275017.73,No
LWucLRxaYX,China,Historical,479112,4.68,982382.47,No
SpmCldWyxw,Australia,Beach,973191,4.43,94120.51,No
OhbYAFFnXq,France,Cultural,126431,4.15,480656.44,No
sqJTOTGWgG,India,Nature,954400,1.22,696592.08,No
GpUSnvsecG,Australia,Adventure,789582,1.79,297740.3,Yes
tOHWBEQGAm,France,Urban,594896,3.08,142702.86,Yes
fJArkvtVXK,France,Nature,533718,2.72,221541.28,No
GooEWwnjFl,Brazil,Cultural,36891,2.55,814706.6,No
vUmJQeHWdt,Australia,Beach,346054,3.57,68703.52,No
kMEVWVNNgy,Australia,Nature,969826,4.39,834306.0,Yes
mqUfIamBap,Australia,Cultural,554185,2.3,101326.87,Yes
jyLEnrXNBO,France,Adventure,27176,3.89,283885.85,Yes
rIgeJqFDgv,China,Adventure,14222,4.79,849892.05,Yes
BrSCKAfmPW,India,Historical,744714,2.11,29865.89,No
aMMhFtgGAy,Australia,Urban,303313,2.24,451074.58,Yes
ghhXJzHESP,USA,Cultural,376630,1.36,115240.0,Yes
MLlpxQaHFJ,USA,Adventure,558754,1.3,128793.46,Yes
LSMSajclDW,India,Historical,465857,3.53,146677.71,No
gQQVlXKRtv,China,Historical,484014,4.47,646936.9,No
DZjCHGcQAR,Brazil,Cultural,199486,1.59,521406.77,Yes
UWwOaTOrRf,India,Urban,767151,3.51,773649.54,No
hspUAQLtlS,India,Adventure,761455,1.95,357378.28,Yes
oyBEbPrVao,Brazil,Beach,540966,3.4,688794.64,Yes
kQvQvwcUdK,China,Cultural,437951,3.14,41024.09,No
TmoFHyEJsS,France,Beach,896333,3.19,38782.38,Yes
pAdPsTLxQX,Australia,Adventure,937460,1.91,626458.55,No
